an_base,g_oridis,total_od,frequencia_od
1991,FF,5,7.35
1991,FM,3,4.41
1991,MF,20,29.41
1991,MM,40,58.82
1992,FF,8,9.64
1992,FM,7,8.43
1992,MF,21,25.3
1992,MM,47,56.63
1993,FF,5,5.26
1993,FM,7,7.37
1993,MF,28,29.47
1993,MM,55,57.89
1994,FF,6,5.45
1994,FM,7,6.36
1994,MF,24,21.82
1994,MM,73,66.36
1995,FF,7,6.73
1995,FM,8,7.69
1995,MF,34,32.69
1995,MM,55,52.88
1996,FF,10,6.37
1996,FM,13,8.28
1996,MF,41,26.11
1996,MM,93,59.24
1997,FF,12,7.27
1997,FM,17,10.3
1997,MF,38,23.03
1997,MM,98,59.39
1998,FF,13,6.88
1998,FM,29,15.34
1998,MF,40,21.16
1998,MM,107,56.61
1999,FF,13,6.6
1999,FM,32,16.24
1999,MF,48,24.37
1999,MM,104,52.79
2000,FF,24,9.52
2000,FM,31,12.3
2000,MF,53,21.03
2000,MM,144,57.14
2001,FF,12,5.29
2001,FM,35,15.42
2001,MF,60,26.43
2001,MM,120,52.86
2002,FF,18,6.45
2002,FM,38,13.62
2002,MF,65,23.3
2002,MM,158,56.63
2003,FF,26,8.23
2003,FM,49,15.51
2003,MF,69,21.84
2003,MM,172,54.43
2004,FF,17,5.67
2004,FM,41,13.67
2004,MF,71,23.67
2004,MM,171,57
2005,FF,19,5.56
2005,FM,47,13.74
2005,MF,79,23.1
2005,MM,197,57.6
2006,FF,26,7.6
2006,FM,31,9.06
2006,MF,75,21.93
2006,MM,210,61.4
2007,FF,28,7.37
2007,FM,41,10.79
2007,MF,87,22.89
2007,MM,224,58.95
2008,FF,27,7.28
2008,FM,47,12.67
2008,MF,76,20.49
2008,MM,221,59.57
2009,FF,33,8.48
2009,FM,58,14.91
2009,MF,76,19.54
2009,MM,222,57.07
2010,FF,24,5
2010,FM,73,15.21
2010,MF,103,21.46
2010,MM,280,58.33
2011,FF,38,7.41
2011,FM,50,9.75
2011,MF,120,23.39
2011,MM,305,59.45
2012,FF,36,6.63
2012,FM,69,12.71
2012,MF,124,22.84
2012,MM,314,57.83
2013,FF,27,4.63
2013,FM,84,14.41
2013,MF,135,23.16
2013,MM,337,57.8
2014,FF,39,6.54
2014,FM,61,10.23
2014,MF,160,26.85
2014,MM,336,56.38
2015,FF,34,5.25
2015,FM,92,14.2
2015,MF,137,21.14
2015,MM,385,59.41
2016,FF,42,7.33
2016,FM,71,12.39
2016,MF,118,20.59
2016,MM,342,59.69
2017,FF,49,6.6
2017,FM,119,16.04
2017,MF,145,19.54
2017,MM,429,57.82
2018,FF,42,6.21
2018,FM,86,12.72
2018,MF,141,20.86
2018,MM,407,60.21
2019,FF,61,7.04
2019,FM,109,12.59
2019,MF,184,21.25
2019,MM,512,59.12
2020,FF,47,7.51
2020,FM,88,14.06
2020,MF,126,20.13
2020,MM,365,58.31
2021,FF,55,7.5
2021,FM,107,14.6
2021,MF,147,20.05
2021,MM,424,57.84
